iter	Passed	Remaining
0	0	152
1	0	146
2	1	146
3	1	141
4	2	141
5	2	141
6	3	139
7	3	137
8	4	135
9	4	134
10	5	134
11	5	133
12	6	133
13	6	132
14	6	131
15	7	130
16	7	129
17	8	128
18	8	127
19	9	128
20	9	127
21	10	127
22	10	126
23	10	125
24	11	125
25	11	124
26	12	123
27	12	122
28	13	122
29	13	121
30	14	121
31	14	121
32	14	120
33	15	119
34	15	119
35	16	118
36	16	118
37	17	118
38	17	117
39	18	117
40	18	116
41	18	116
42	19	115
43	19	115
44	20	114
45	20	114
46	21	113
47	21	112
48	21	112
49	22	111
50	22	111
51	23	111
52	23	111
53	24	110
54	24	110
55	25	109
56	25	109
57	26	108
58	26	108
59	26	107
60	27	107
61	27	106
62	28	106
63	28	106
64	29	105
65	29	105
66	30	104
67	30	104
68	30	103
69	31	103
70	31	102
71	32	102
72	32	102
73	33	101
74	33	101
75	34	100
76	34	100
77	35	99
78	35	99
79	35	98
80	36	98
81	36	97
82	37	97
83	37	96
84	38	96
85	38	95
86	38	95
87	39	94
88	39	94
89	40	93
90	40	93
91	41	93
92	41	92
93	42	92
94	42	91
95	42	91
96	43	90
97	43	90
98	44	89
99	44	89
100	45	88
101	45	88
102	45	87
103	46	87
104	46	86
105	47	86
106	47	85
107	48	85
108	48	85
109	48	84
110	49	84
111	49	83
112	50	83
113	50	82
114	51	82
115	51	81
116	51	81
117	52	80
118	52	80
119	53	80
120	53	79
121	54	79
122	54	78
123	55	78
124	55	77
125	56	77
126	56	76
127	56	76
128	57	75
129	57	75
130	58	75
131	58	74
132	59	74
133	59	73
134	60	73
135	60	72
136	60	72
137	61	72
138	61	71
139	62	71
140	62	70
141	63	70
142	63	69
143	63	69
144	64	68
145	64	68
146	65	68
147	65	67
148	66	67
149	66	66
150	67	66
151	67	65
152	68	65
153	68	64
154	68	64
155	69	63
156	69	63
157	70	63
158	70	62
159	71	62
160	71	61
161	71	61
162	72	60
163	72	60
164	73	59
165	73	59
166	74	59
167	74	58
168	74	58
169	75	57
170	75	57
171	76	56
172	76	56
173	77	55
174	77	55
175	78	54
176	78	54
177	78	54
178	79	53
179	79	53
180	80	52
181	80	52
182	81	51
183	81	51
184	81	50
185	82	50
186	82	50
187	83	49
188	83	49
189	84	48
190	84	48
191	84	47
192	85	47
193	85	46
194	86	46
195	86	46
196	87	45
197	87	45
198	88	44
199	88	44
200	88	43
201	89	43
202	89	42
203	90	42
204	90	41
205	91	41
206	91	41
207	91	40
208	92	40
209	92	39
210	93	39
211	93	38
212	93	38
213	94	37
214	94	37
215	95	37
216	95	36
217	96	36
218	96	35
219	97	35
220	97	34
221	97	34
222	98	33
223	98	33
224	99	33
225	99	32
226	100	32
227	100	31
228	100	31
229	101	30
230	101	30
231	102	29
232	102	29
233	103	29
234	103	28
235	104	28
236	104	27
237	104	27
238	105	26
239	105	26
240	106	26
241	106	25
242	107	25
243	107	24
244	108	24
245	108	23
246	108	23
247	109	22
248	109	22
249	110	22
250	110	21
251	111	21
252	111	20
253	112	20
254	112	19
255	112	19
256	113	18
257	113	18
258	114	18
259	114	17
260	115	17
261	115	16
262	116	16
263	116	15
264	116	15
265	117	15
266	117	14
267	118	14
268	118	13
269	119	13
270	119	12
271	120	12
272	120	11
273	121	11
274	121	11
275	121	10
276	122	10
277	122	9
278	123	9
279	123	8
280	124	8
281	124	7
282	125	7
283	125	7
284	125	6
285	126	6
286	126	5
287	127	5
288	127	4
289	128	4
290	128	3
291	128	3
292	129	3
293	129	2
294	130	2
295	130	1
296	131	1
297	131	0
298	132	0
299	132	0
