iter	Cox
0	-76.82193418
1	-76.51049937
2	-76.21212005
3	-75.96042986
4	-75.74693303
5	-75.54584869
6	-75.21704229
7	-74.99583259
8	-74.74153857
9	-74.50919563
10	-74.23566572
11	-73.98194041
12	-73.7878872
13	-73.50413346
14	-73.30373433
15	-73.10299572
16	-72.87346862
17	-72.72523512
18	-72.46252181
19	-72.15314818
20	-71.95591299
21	-71.75810033
22	-71.49111863
23	-71.25250033
24	-71.04877482
25	-70.837634
26	-70.6429648
27	-70.48544465
28	-70.25667494
29	-70.05107007
30	-69.89916007
31	-69.66198893
32	-69.45191713
33	-69.28442169
34	-69.13160856
35	-68.91666899
36	-68.7014832
37	-68.48768351
38	-68.28670962
39	-68.11885969
40	-67.96565928
41	-67.77480164
42	-67.61307905
43	-67.3977508
44	-67.23384859
45	-67.08302703
46	-66.86894905
47	-66.71489624
48	-66.57132789
49	-66.42875289
50	-66.27606626
51	-66.04894213
52	-65.94216966
53	-65.79187039
54	-65.63103171
55	-65.50667639
56	-65.37439986
57	-65.26157423
58	-65.12547725
59	-64.95989756
60	-64.77975849
61	-64.63756778
62	-64.54010937
63	-64.41552013
64	-64.25581553
65	-64.09034065
66	-63.91133711
67	-63.77890158
68	-63.57790651
69	-63.43753239
70	-63.31454758
71	-63.15211334
72	-63.04022239
73	-62.90156974
74	-62.76877326
75	-62.64090561
76	-62.50817604
77	-62.34166617
78	-62.19725712
79	-62.12946394
80	-62.01231717
81	-61.89739942
82	-61.79081864
83	-61.67377567
84	-61.58162713
85	-61.46412191
86	-61.29458135
87	-61.16957944
88	-61.07861178
89	-60.9281121
90	-60.80429878
91	-60.69304373
92	-60.5789543
93	-60.47825849
94	-60.38194093
95	-60.2578591
96	-60.14798347
97	-60.05047436
98	-59.94575961
99	-59.83582324
100	-59.74467115
101	-59.64320703
102	-59.52507893
103	-59.43817332
104	-59.32130824
105	-59.19191683
106	-59.0431563
107	-58.92905547
108	-58.84929726
109	-58.78781617
110	-58.67234406
111	-58.60079088
112	-58.548339
113	-58.4617305
114	-58.39010669
115	-58.27006109
116	-58.17609079
117	-58.01000573
118	-57.92964017
119	-57.83466447
120	-57.62497141
121	-57.52483941
122	-57.45874399
123	-57.40695763
124	-57.31689946
125	-57.23441455
126	-57.16713477
127	-57.04826998
128	-56.92364828
129	-56.83749057
130	-56.69277762
131	-56.55149338
132	-56.49486596
133	-56.40040869
134	-56.29809234
135	-56.21118105
136	-56.12515155
137	-56.05398303
138	-55.88018322
139	-55.77937631
140	-55.68018664
141	-55.51104391
142	-55.38916016
143	-55.24930854
144	-55.12322717
145	-54.9618367
146	-54.87133021
147	-54.79855343
148	-54.65791135
149	-54.57219337
150	-54.49667656
151	-54.44069782
152	-54.37382996
153	-54.2120287
154	-54.15082851
155	-53.99317886
156	-53.93606699
157	-53.82360905
158	-53.76660566
159	-53.69903912
160	-53.61699864
161	-53.55356525
162	-53.48158598
163	-53.40105754
164	-53.35207175
165	-53.21697626
166	-53.06977615
167	-52.99981465
168	-52.86360697
169	-52.80066425
170	-52.70137564
171	-52.62510121
172	-52.55499831
173	-52.45845935
174	-52.35949024
175	-52.27165824
176	-52.19850789
177	-52.14104303
178	-52.0723795
179	-52.00835556
180	-51.94559521
181	-51.82242119
182	-51.74850969
183	-51.687451
184	-51.6356779
185	-51.50338558
186	-51.4216654
187	-51.33344122
188	-51.21004421
189	-51.08921946
190	-51.03060896
191	-50.91280253
192	-50.79744764
193	-50.70552954
194	-50.62514171
195	-50.51239237
196	-50.45654257
197	-50.34699869
198	-50.22787775
199	-50.15454747
200	-50.04041278
201	-49.93530428
202	-49.84745545
203	-49.76136916
204	-49.6933214
205	-49.58276907
206	-49.5115674
207	-49.43941881
208	-49.39426772
209	-49.32429318
210	-49.24392776
211	-49.17646478
212	-49.108283
213	-49.00668841
214	-48.94933001
215	-48.88299242
216	-48.79315944
217	-48.72826877
218	-48.66877433
219	-48.57119705
220	-48.47564789
221	-48.40074928
222	-48.33749116
223	-48.28348377
224	-48.18260766
225	-48.11968119
226	-48.02084474
227	-47.94964183
228	-47.87980637
229	-47.82004064
230	-47.7224378
231	-47.67669647
232	-47.63702785
233	-47.5787255
234	-47.48712817
235	-47.42981968
236	-47.38888206
237	-47.32971317
238	-47.2741939
239	-47.22054785
240	-47.18599746
241	-47.13176372
242	-47.072016
243	-46.97797989
244	-46.93849059
245	-46.8853369
246	-46.83305283
247	-46.79951189
248	-46.74819366
249	-46.66093968
250	-46.61044784
251	-46.56076725
252	-46.51187775
253	-46.46375984
254	-46.43461018
255	-46.39711155
256	-46.34994603
257	-46.25950935
258	-46.23101162
259	-46.18476193
260	-46.15675113
261	-46.12910765
262	-46.09898664
263	-46.05374235
264	-46.0128284
265	-45.95086939
266	-45.92126735
267	-45.88117777
268	-45.8416742
269	-45.815138
270	-45.75460126
271	-45.725725
272	-45.68695061
273	-45.66110785
274	-45.6329126
275	-45.60773886
276	-45.56553507
277	-45.5239649
278	-45.48301343
279	-45.45578376
280	-45.41551607
281	-45.3887274
282	-45.3520053
283	-45.31580629
284	-45.29185631
285	-45.25611925
286	-45.23243073
287	-45.20648232
288	-45.1711479
289	-45.14549067
290	-45.11060276
291	-45.08772898
292	-45.05327871
293	-45.03064799
294	-44.99662725
295	-44.97423579
296	-44.94063666
297	-44.91600674
298	-44.86833439
299	-44.83520853
300	-44.80254076
301	-44.7806007
302	-44.7589381
303	-44.72661758
304	-44.70278553
305	-44.68162376
306	-44.59606054
307	-44.57499801
308	-44.54326431
309	-44.52241683
310	-44.50183017
311	-44.47042809
312	-44.45004827
313	-44.41902466
314	-44.39884876
315	-44.36819707
316	-44.34822225
317	-44.31793608
318	-44.29815954
319	-44.26823266
320	-44.22257598
321	-44.19310671
322	-44.1734918
323	-44.14436893
324	-44.12268551
325	-44.0939035
326	-44.07468206
327	-44.03006224
328	-44.00166468
329	-43.98264389
330	-43.93885314
331	-43.85713742
332	-43.83820419
333	-43.81950538
334	-43.7916553
335	-43.77313877
336	-43.74561284
337	-43.72727622
338	-43.61605345
339	-43.53611045
340	-43.51797836
341	-43.50007003
342	-43.48238186
343	-43.4036686
344	-43.38604069
345	-43.36862869
346	-43.26039835
347	-43.18315219
348	-43.16592084
349	-43.14890022
350	-43.07298334
351	-43.05601187
352	-43.03924722
353	-43.0154686
354	-42.99892067
355	-42.9242806
356	-42.90777554
357	-42.89147065
358	-42.86817788
359	-42.84518556
360	-42.82910282
361	-42.75585495
362	-42.73981037
363	-42.71727298
364	-42.70143534
365	-42.63487608
366	-42.53067983
367	-42.4284071
368	-42.3577065
369	-42.25747035
370	-42.20443753
371	-42.18887299
372	-42.11990155
373	-42.08827264
374	-42.0726874
375	-41.9747459
376	-41.87860793
377	-41.82643835
378	-41.77483721
379	-41.75955623
380	-41.70845779
381	-41.64194796
382	-41.61112682
383	-41.59577686
384	-41.50184051
385	-41.45158247
386	-41.43647184
387	-41.38670236
388	-41.33747711
389	-41.30707319
390	-41.27973208
391	-41.25276051
392	-41.23776017
393	-41.17375126
394	-41.15878614
395	-41.14400437
396	-41.05263388
397	-41.01156418
398	-40.99698586
399	-40.95661939
400	-40.92693592
401	-40.91242548
402	-40.87230169
403	-40.85789202
404	-40.81832509
405	-40.80402904
406	-40.78990742
407	-40.75052075
408	-40.73649309
409	-40.69764435
410	-40.66834782
411	-40.63600866
412	-40.60704323
413	-40.59301327
414	-40.55488651
415	-40.54096524
416	-40.52721376
417	-40.49534161
418	-40.46656507
419	-40.43507819
420	-40.40662651
421	-40.3755154
422	-40.3617877
423	-40.33361116
424	-40.29633085
425	-40.28266361
426	-40.25199998
427	-40.2240868
428	-40.21052365
429	-40.18019675
430	-40.15255127
431	-40.11602741
432	-40.10250572
433	-40.08915168
434	-40.05924889
435	-40.0318168
436	-40.002256
437	-39.97512973
438	-39.93934146
439	-39.92596096
440	-39.91274734
441	-39.88358815
442	-39.85666842
443	-39.82783563
444	-39.8147007
445	-39.78803656
446	-39.7529019
447	-39.73982479
448	-39.72691106
449	-39.69843664
450	-39.67197519
451	-39.64381381
452	-39.61764637
453	-39.58979101
454	-39.57688387
455	-39.55096101
456	-39.51657581
457	-39.50372635
458	-39.47622545
459	-39.45053779
460	-39.42332997
461	-39.41055398
462	-39.385105
463	-39.35140242
464	-39.33868418
465	-39.31181386
466	-39.28659426
467	-39.27396951
468	-39.24735637
469	-39.23487027
470	-39.20177948
471	-39.17674519
472	-39.16431356
473	-39.13802195
474	-39.11322053
475	-39.08719981
476	-39.07483574
477	-39.02082379
478	-38.99492785
479	-38.98265939
480	-38.95706344
481	-38.9326461
482	-38.91441108
483	-38.89035454
484	-38.8650448
485	-38.85277456
486	-38.82086428
487	-38.79701969
488	-38.7848062
